id,coname,loc_search,reason,year
2004134,PFC Rayshawn S. Johnson Way,Maple Street between Albany Avenue and Kingston Avenue,"Private First Class Rayshawn S. Johnson of the United States Army’s 4th Infantry Division was killed in action on November 3, 2003 in Tikrit, Iraq.Rayshawn was born on February 13, 1983 in Brooklyn, NY to Patty Johnson and Nathaniel Herbert.  He was loved and cared for by his foster mother Deborah Wynter for the last thirteen years.Rayshawn attended Junior High School Mahalia Jackson and he spent his high school years at George Wingate.  Before entering the Army, he completed one year at Touro College.  Upon completion of boot camp, which was spent at Leonardwood, Mo., he was tent to Fort Hood, Texas, where he was assigned to the 4th Infantry, and was ultimately sent to Iraq.  He was a member of the 299th Engineer Battalion.  His mission was to help build bridges.  While in Iraq, the Humvee that Rayshawn was riding in was struck by a land mine.PFC Rayshawn Johnson was the 397th casualty to the United States in Operation Iraqi Freedom, and the 5th solider from the City of New York to be killed in Iraq.",2004
2004136,Cesiah Toro Mullane Place,Adler Place between Hemlock Street and Crescent Street,"Cesiah Toro Mullane, a long time resident of Cypress Hills, was born in Guayama, Puerto Rico on April 20, 1929. She was the youngest daughter in a family of eleven children. Cesiah completed high school in Rio Piedras and attended the University of Puerto Rico for two years. Afterwards, she came to New York to join her family and worked at various jobs, including clothes designing and sample making.Cesiah met Michael Mullane when they both worked in New York City’s Garment Center and they were married in 1954. “Cesi” (as she was known to most) and Mike made their home in his native Brooklyn and moved to Cypress Hills in 1957. She returned to college when her youngest child was two years old, and completed her Associates Degree in Spanish and Secondary Education at York College in 1976.Cesi Chaired the Cypress Hills Community Coalition, was a member of the Governance Council of the Cypress Hills Community School and the Board of the Cypress Hills Child Care Corporation. She was a member of the Cypress Hills Advocates for Education (CHAFE), wrote and translated the community bilingual newspaper “Neighbors and Merchants”, and translated Blessed Sacrament Church’s weekly bulletin. Cesi also founded and joyously sang in the Spanish Choir of the Church for more than a decade. During her last year, she also served on the Planning Committee of the Department of Probation’s Neighborhood Shield Community Advisory Board and as a member of Community Board # 5. Cesi died on December 2, 2003. She was survived by her husband Michael, five children, nine grandchildren, and five great-grandchildren.",2004
2004150,Crossing Guard Phyliss Ann Pizzuto Corner,none the southeast corner of the intersection of Henderson Avenue and Broadway,"Phyliss Ann Pizzuto was born in West Brighton, Staten Island, and was a life long Staten Islander.  She graduated from Port Richmond High School and was a parishioner of Sacred Heart Church in West Brighton.  She was a regent for Court Fatima of the Catholic Daughter of the Americas.  She worked as a school crossing guard at PS 18 for 17 years.  She dies at the age of 58 at Staten Island University Hospital in Ocean Breeze.",2004
2004165,Huttner Pasqualini American Legion Way,Jefferson Street between Cromwell Avenue and Garretson Avenue," The heroic men from Staten Island who served and some of whom made the ultimate sacrifice in World War II deserve to have this street renamed to ensure that future generations remember that “freedom is not free.”  This renaming insures the memory of the members of theis American Legion, Dongan Hills and the sacrifices they made.",2004
2004175,Daniel Sanchez Way,East 123rd Street between Lexington Avenue and Third Avenue,"Daniel Sanchez was born on March 25, 1949. Mr. Sanchez served his country in the Navy, during the Vietnamese War. During his tour of duty, between 1968 and 1970, he served aboard the U.S.S. America earning medals for National Defense, Vietnam Service and a Naval Unit Citation. Mr. Sanchez was appointed to the New York City Department of Sanitation in 1981 and promoted to Supervisor in 1989. At his death, on March 3, 2004, he had been serving the East Harlem community for more than twenty-two years. He was survived by his wife, Francis, and two sons, Thomas and Michael",2004
20055,B.C. Fred Scheffold Way,East 124th Street Between Lexington and Third Avenues,,2005
20056,Richard M. Caggiano 9-11 Memorial Way,NE corner of 80th Street and 11th Avenue,,2005
200519,Sgt. Joseph Otto Behnke Avenue,Prospect Avenue Between 6th and 7th Avenues,"Joseph Otto Behnke served his country with the United States Army’s 82nd Airborne Division from 1976 to 1980.  From 1985 until his death, he served intermittently with the New York Army National Guard.  Joseph continued his service to his country and military counterparts by working at the downtown Manhattan Veterns Affairs hospital.  He also stared a general contracting company called American Way Construction, Incorporated.",2005
200522,PFC James E. Prevete Avenue,5th Avenue Between 147th and 149th Streets,"PFC. James E. Prevete was killed while bravely serving our country in Operation Iraqi Freedom in Habbaniya, Iraq.  Pfc. Prevete was a life-long resident of Whitestone, New York and attended Holy Trinity Elementary School and St. Francis Prep High School where he graduated in June 2000.  PFC Prevete joined the Army in November 2003.",2005
200523,Marsha Rapaport Way,West 5th Street Between Surf and Neptune Avenues,"Marsha Rapaport lived in the shorefront community for over 30 years and raised her family there.  For over 25 years, Marsha was very active in many local organization dedicated to improving her community including District Leader and State Committeewoman of the 46th Assembly District, Legislative Aide to State Senator Seymour Lachman and Chief of Staff for retired City Council Member Samuel Horowitz.  She has received numerous awards and earned a Masters Degree in Sociology and Degree of Advance Certificate in Gerontological Studies from Brooklyn College.",2005
200524,Rev. Isaiah J. Jones Blvd.,Commonwealth Avenue Between Watson and Gleason Avenues,"Originally from Antigua, Reverend Jones migrated to the United States in the early 1960’s with his wife and three children where he educated, trained and prepped for his ministry.  Soon after, he was given the opportunity to start a small church on Kelly Street in the Bronx where he was able to build the church to a sizeable congregation and provide affordable classes to the community.  He later moved to what is now known as The Bronx Deliverance Center, where his son is now the Pastor.",2005
200528,VaSean Phillip Alleyne Memorial Avenue,73rd Avenue Between 150th and 153rd Street,"VaSean Phillip was a wonderful son with a smile that could illuminate the sky.  One of his greatest joys was playing basketball one-on-one with his Mom and their weekly Wednesday night games.  He loved his neighborhood and was an ever-present sight in it laugh and playing with his friends.  VaSean Phillip also loved to travel.  He visited Barbadoes, Grenada, Finland, England and Disney World, as well as many states in the continental United States.  VaSean Phillip was tragically struck and killed by a drunk driver.  His spirit has become the catalyst to change the current DWI laws.",2005
200529,Malcolm X Place,97th Street Between 23rd and 24th Streets,"Malcolm X was a prominent African-American leader during the 1950s and 60s.  While he remains one of the more controversial historical figures of his time, his significant impact on the civil rights movement is unquestioned.  This street sign will be placed on the block where Malcolm X lived with his wife and four daughters for almost five years before he was killed in 1965.",2005
200534,Arleen Ramos Way,59th Street Between 3rd and 4th Avenues,"Arleen was a long time community activist and a member of Community Board Seven where she was the chairperson of the youth committee.  She was the Director of Alternative Sanctions at the Red Hook Community Justice Center, where she was an integral component of one of the most dynamic and innovative developments in the current theoretic in the field of Criminal Justice at the Community Justice Center.  Arleen’s life was dedicated to public service both in her employment and in the myriad of volunteer activities that she gave her time to.",2005
200537,Mary Woodward Lasker Way,York Avenue Between 67th and 68th Streets,"Mary Lasker was America’s foremost citizen-advocate for public health and medical research fro much of the 20th Century, for which she also was a renowned philanthropist.  Over the course of several decades, she cajoled, educated, lobbied and otherwise provoked U.S. Presidents to make medical research a national priority.  A consummate New Yorker, Mary Lasker avidly supported the arts and beautification efforts.  She was a trustee of several prominent disease-related organizations, including serving as chair of the American Cancer Society, as well as a trustee of New York University, the Museum of Modern Art and the Kennedy Center for the Performing Arts.",2005
200546,Firefighter Keithroy Maynard Place,11th Street Between 7th and 8th Avenues,,2005
200549,Edward Joseph Martinez Way,Cornish Avenue Between Broadway and Poyer Street,,2005
200556,Cono E. Gallo Place,Corner of 53rd Drive and 64th Place,,2005
200564,Nicholas Johs Way,NE corner of Pendleton and Whitewood Avenues,"Nicholas was a Cub Scout with Troop 26 at Castleton Hill Moravian Church.  He began as a Tiger Cub and eventually became a Boy Scout achieving the rank of First Class.  As a more experienced scout, he enjoyed his role as a Den Chief with the younger scouts, nurturing and guiding them.  He was an excellent student and had been on the Principals’ list at Blessed Sacrament School.   Nicholas died tragically in a boating accident in Cape May, NJ.  He was just 14 years old when he died.",2005
200572,Reverend Pedro Pietri Way,East 3rd Street Between Avenue B and Avenue C,"Reverend Pedro Pietri was a very active member of his community, where he participated in many issues related to housing, culture, homelessness, citizen’s rights and youth. He was a gifted poet whose works could be seen and heard at the Nuyorican Poets Café, an establishment he helped create to give all Spanish-speaking people a home to produce and hear poetry in their native language. In his career he published over twenty works of poetry and plays.",2005
200574,Thomas Michael Darcy Way,Corner of Thomas and Wolverine Streets,"Thomas Michael Darcy was born on September 25, 1965, and was the son of Margaret and Police Officer John Joseph Darcy, tragically killed while on duty September 13, 1967.  Thomas Michael tragically fell from the Chase building in Lower Manhattan on April 14, 2005.  Thomas Michael was the beloved husband of Diana and father to John, Thomas and Lexi.  Family, friends and co-workers lovingly remember Thomas Michael as someone they could always depend on.",2005
200582,Barbara DeCosta Waldon Place,222nd Street Between 115th and 116th Avenues,"Barbara DeCosta Waldon devoted her time and services to the community and utilized her extensive graphic artist background to create Images Plus, a graphics design and promotions firm that earned her a reputation for hard hitting advertising and political campaign promotion.",2005
200583,Sister Mary Franciscus Way,27th Street Between 4th and 5th Avenues,"Sister Mary Franciscus was the Chairperson of the Youth Committee of CB 7 in Brooklyn, where she was instrumental in developing the idea for Oppportunities for a Better Tomorrow (OBT), a comprehensive job training/placement program and GED program to service the underprivileged youth in the community. She later on helped expand this program to help adults with the Learn in the Evening Program (LITE), which allowed workers in the community to take classes in computer, GED and English as a second language during evening hours.",2005
200598,"Jennifer M. Parisi Place ""Beloved Daughter""",NW corner of Crown Avenue and Evans Street,"Jennifer Parisi was the beloved daughter of Cookie and Sal Parisi.  She was a preschool teacher at Babes in Toyland in Staten Island, where she was loved by parents and staff alike.  She organized “special” days for families, spent her own money on class projects and brought music and art to the lives of the little ones.  Jennifer died as a result of a very rare, congenital heart disease.  She went to sleep one night and did not wake up.",2005
200599,Michael Herszdorfer Road,NE corner of Hillcrest Avenue and Lindenwood Road,"Michael was a typical nine year old; exuberant, happy and filled with thoughts of school, family, play and sports.  Michael was very involved with activities in and out of school at PS #8, looked forward to joining Weeblos, and eventually working up to Eagle Scout.  Michael also participated in ice hockey with the S.I. Rangers and baseball at the local YMCA team.",2005
2005101,Sgt. Doreen Scrimenti Place,NW corner of Kissel Avenue and Linden Street,"Sgt. Doreen Scrimenti was a native of New Brighton, attended St. Paul’s Elementary School and graduated from Moore Catholic High School.  She earned a BA in 1988 from John Jay College of Criminal Justice.  She was a member of the college’s Police Cadet Corps and graduated from the Police Academy in 1988.  Doreen earned her Sergeant stripes in 1997.  In the 11 years that Doreen served the City of New York, she was a highly decorated officer, receiving many commendations for her work.",2005
2005109,Thelma Boyd Boulevard,East 170th Street Between Webster Avenue and Third Avenue,"Section 65. Firefighter Leon W. Smith, Jr. Memorial Way",2005
2005112,Mary Woodard Lasker Way,York Avenue Between 67th and 68th Streets,,2005
20063,Rev. Bryan J. Karvelis Way,Marcy Avenue Between Hewes and Hooper Streets,"Rev. Bryan J. Karvelis led the Parish of the Transfiguration and was a consummate pillar of the community who dedicated his life improving the neighborhood in a variety of ways. From his work in founding the Southside Mission to his help in opening Casa Betsaida, a residence for people in the community who are infected with the AIDS virus, Rev. Karvelis uplifted his parish by making sure residents had access to the services they needed. His effort and leadership strengthened the community.",2006
20066,Nicky Antico Jr. Way,76th Street Between 14th and 15th Avenue,"Nicky Antico Jr. spent much of his young adult life living on 76th Street in Brooklyn and was a vibrant member of the community.  He later went on to become an employee of the New York City Department of Transportation, specifically, the Department of Highways. On September 11, 2001, Nick dedicated his time to the clean up and rescue efforts at the site of the World Trade Center disaster. He was a loyal and cherished husband, father, brother and friend.",2006
20068,Pvt. Joseph M. Merrell Jr. American Legion Post Corner,Underneath the West Street sign at the Southeast corner of Cary Avenue,"Joseph F. Merell was awarded the Congressional Medal of Honor for his one-man attack against vastly superior enemy forces near Lohe, Germany. Entirely on his own initiative, he was able to kill 6 Germans in the first machinegun emplacement, 7 in the next, and an additional 10 infantrymen who were astride his path to the weapons which would have decimated his unit had he not assumed the burden of the assault and stormed the enemy positions with utter fearlessness, intrepidity of the highest order, and a willingness to sacrifice his own life so that his comrades could go on to victory. Merell is a true war hero.",2006
20069,SI Borough President (1977-1984) Anthony R. Gaeta Place,Underneath the Stewart Avenue sign at the Northeast corner of Victory Blvd,"Anthony R. Gaeta, a former councilman of the City of New York, was elected Borough President of Staten Island on June 10, 1977.  He attended New York University and Cornell University where he studied Business Administration and Real Estate procedure. Among the honors and awards which he has gathered since assuming the Borough Presidency include: Distinguished Citizenship Award of Wagner College, award for leadership of the American Red Cross in a program of aid for flood disaster victims, Distinguished Service Award of the Council of Jewish Organizations, Certificate of Appreciation of the New York State Special Olympics Committee, and the Service Award of Madonna Council, Knights of Colombus. Gaeta used his offices as a focal point in which ideas can be exchanged for the orderly growth of Staten Island.",2006
200624,Marlon A. Bustamante Place,47th Avenue Between 102nd and 104th Streets,"Marlon Bustamante is a local hero. He gave his life for his country in Iraq on February 1, 2006, in a roadside bombing in eastern Baghdad. He was on his second tour of duty with the 101st Airborne Division’s 502nd Infantry regiment based in Fort Campbell, KY, and expected to return home in April. He left behind his mother, two brothers, his wife and three children.",2006
200630,Ms. Marion Dombkowski Way,7th Avenue Between Prospect Avenue and 17th Street,"Marion Dombkowski was born in Garfield, New Jersey and was the youngest of four children. She later married, raised two children and moved to Brooklyn. She was an exemplary woman whose service as a crossing guard at IS 88 for 28 years kept many students safe and sound to and from school. The community recognized her contributions and she was given an Award of Appreciation for her many dedicated years of service with the Police Department.",2006
200638,Armando Perez Place,East 9th Street Between Avenues B and C,"Armando Perez was born in Puerto Rico and relocated to the Lower East Side of Manhattan when he was three years old. In 1964, along with Carlos Garcia, came together to create the Real Great Society, a gang outreach and community empowerment organization. The Real Great Society organized over 30,000 youths around the country to stop fighting and to work on addressing the needs of their communities. Armando was also appointed to Community Planning Board 3 in 1986 and served the Board for 13 years helping organize one of the first urban equity projects that would rehabilitate buildings for low-income residents.",2006
200641,Court Officer Memorial Way,Lafayette Street Between White and Leonard,"This street name change stands for the NYS Court Officers who lost their lives on September 11, 2001.",2006
200642,Court Officer Mitchel Scott Wallace Corner,Lafayette Street Corner of White and Lafayette,"Court Officer Wallace was killed in the September 11, 2001, terrorist attacks while attempting to rescue the victims trapped in the World Trade Center. He had been assigned to the Supreme Court for only three months but had been with the New York State Office of Court Administration for several years. He is survived by his fiancée, parents, sister, brother-in-law, niece and nephew.",2006
200643,Captain William Thompson Corner,Lafayette Street Corner of Franklin and Lafayette,"Captain Thompson was killed in the September 11, 2001, terrorist attacks while attempting to rescue the victims trapped in the World Trade Center. He had been with the New York State Office of Court Administration for 27 years, and was an instructor at the Court Officers Academy. He is survived by his two sons and mother.",2006
200644,Court Officer Thomas Jurgens Corner,Lafayette Street Corner of Leonard and Lafayette,"Court Officer Jurgens was killed in the September 11, 2001, terrorist attacks while attempting to rescue victims trapped in the World Trade Center. He was a U.S. Army veteran. He had been with the New York State Office of the Court Administration for three years.",2006
200662,Alzheimer's Foundation Way,Post Avenue at the northeast corner of Driprock Street,The Alzheimer’s Foundation of Staten Island has been relocated to 789 Post Avenue where the Foundation can benefit from a greater public presence. The number of patients with Alzheimer’s disease is expected to triple by the year 2020. The Foundation has been important to the community over the years and its importance will continue to grow.,2006
200664,Pvt. Leon J. Stasiak Way,Pulaski Avenue at the southeast corner of Walker Street,"Pvt. Leon J. Stasiak was among 1,015 U.S. soldiers killed when a new, radio-guided missile launched from a German bomber sunk the HMT Rohna off North Africa in late 1943. Though among the deadliest sea disasters involving American troops, it was cloaked in secrecy for years. Pvt. Leon J. Stasiak is a true war hero who died to protect our country.",2006
200669,Thomas J. Shubert Avenue 9-11-01,Intersection of 127th Street and 11th Avenue,"Thomas Shubert was born in Jackson Heights on February 4, 1958. He attended PS 27 for several years until entering St. Fidelis. He was an active young man in soccer, little league as well as the bowling league every Saturday at the old College Lanes. Thomas’ commitment to a solid work ethic is what propelled him on his way into the business world. After graduating high school, he went straight to Wall Street landing his first job with Irving Trust. He married Diane Rodriguez of Corona and was blessed with a precious daughter named Renee. Thomas Shubert died on 9-11 while he was working for Cantor Fitzgerald.",2006
200670,PFC Alberto Colon Street,204th Street Between 46th Road and 47th Avenue,"PFC Alberto Colon was a United States Marine killed in action in Vietnam on February 20, 1968. At the time of his death he had just turned 19 years of age. Following his death he was awarded the Purple Heart for making the ultimate sacrifice for his country.",2006
200671,Assemblywoman 1973 - 2000 Hon. Elizabeth A. Connelly Way,Underneath the Benedict Avenue sign at the Southeast Corner of Manor Road,"Hon. Elizabeth A. Connelly was born Elizabeth Ann Keresey on June 19, 1928. Mrs. Connelly was a Brooklyn native whose family moved to the Bronx when she was 2. She did not attend college. In the mid-1940's, she worked as a secretary at the New York Life Insurance Company. Then, from 1946 to 1954, she worked in telephone sales for cargo at Pan American World Airways, with her future husband as her boss. The Connelly’s moved to Staten Island in 1954, and Mrs. Connelly became active in local politics, joining the North Shore Democratic Club of Richmond County. She was first elected to the Assembly in 1973 and was re-elected 13 times. ",2006
200673,Genesis Regalado Way,55th Avenue Between 98th and 99th Streets,"Genesis Regalado was a student at IS 61 Queens on 50th Avenue in Corona, Queens and was a well-known and popular member of the local community. Tragically, she was shot and killed by a stray bullet fired from a moving car on 55th Avenue between 98th and 99th Streets.",2006
200679,Elizabeth Jennings Place,Park Row Between Beekman and Spruce Streets,"A century before Rosa Parks, Elizabeth Jennings refused to be forced from a public bus because of the color of her skin. She was physically forced from the bus and filed damages against the company, driver and conductor. Represented by future president Chester A. Arthur, she won her suit, paving the way for African American New Yorkers to freely ride city buses.",2006
200682,B.C. Joseph Marchbanks Way,East 124th Street Between Lexington and 3rd Avenues,"Battalion Chief Joseph Marchbanks was a FDNY fire fighter who died during the September 11th tragedy and had served the community of East Harlem for a number of years. He grew up in the Inwood section of Manhattan. He later married and had two children. He was sworn in to the Fire Department on October 13, 1979. In 1997, Marchbanks was promoted to Battalion Chief and transferred to the 12th Battalion located at 124th Street and 3rd Avenue.",2006
200694,Allison C. Rivera-Roman's Place,Homer Avenue Between Olmstead and Castle Hill Avenue,"Allison Rivera-Roman lived her whole life in the Bronx. As a teenager, Allison was a vibrant and active student at Christopher Columbus High School where she was well known by her classmates and teaching staff. At her high school graduation, the school’s 50th anniversary, she was bestowed the highest award ever given for community service.",2006
200698,Robert Maialo Street,Armstrong Avenue Between Oakdale Street and Sycamore Street,"Robert Mailo was a devoted father and grandfather who worked for over 25 years at PS 130 in Brooklyn, where the staff, administration, students and PTA all praised his humor, his willingness to help, and his devotion to the children.",2006
2006100,James (Jimmy) Carsten Road,On the Corner of Beach Road and Hillcrest Street,"James Carsten lived a typical Staten Island childhood. He was a delivery boy for the Advance, played Little League for a Great Kills team and was a Boy Scout. Nothing could prepare his family to learn that their son had non Hodgkins Lymphoma. Shortly after graduating Tottenville High School and while attending Staten Island College, he passed away. A scholarship is established in his name to help with serious or terminal illness and assist St. Vincent’s Pediatric Center with purchasing computers, toys and games for patients on the pediatric unit.",2006
2006104,Detective Richard J. DeGaetano Street,Ardsley Street At the Corner of McKinley Avenue,"Detective Richard J. DeGaetano was once pictured on Police Department recruitment posters advertising “The Beat Cop Is Back.” However, on January 13, 1992, he was shot while on duty as a police officer. He was awarded the NYPD Medal of Honor in 1993 for his heroic efforts. After a long and hard recuperation, he returned to the police department working in the Police Self Support Group assisting wounded and disabled officers.",2006
2006106,Rev. Grady H. Donald Boulevard,East 156th Street Between Morris Avenue and Melrose Avenue,"Rev. Grady H. Donald is remembered for his commitment to civil rights and religious convictions throughout his life. Through his leadership, the Victory Baptist Church collaborated with other community based organizations and the City to build partnerships that would bring improvements to the surrounding community. He was an active member in such organizations as Bronx Shepherds Restoration Corporation, the Bronx Clergy Coalition and the Council of Churches in New York City.",2006
2006110,Reverend James Pennington Place,Corona Avenue From 90th Street to 91st Street,"Reverend James Pennington was a truly inspiring figure. According to the Queens Historical Society, he was an abolitionist and the leader of a local congregation in pre-Civil War America. Reverend Pennington served his congregation from a church at Corona Avenue.",2006
2006113,Albert Albanese Way,Placed Underneath the Brabant Street Sign at the Northeast Corner of Union Avenue,Albert Albanese attended PS 44 which was across the street from where he lived. He attended St. Michael’s Church his entire life and became very involved and helped out when the church had their feasts. He would work at a booth to raise money for the church. He was drafted into the Army during the Korean War and later became a member of the Mariners Harbor VFW and the Mariners Harbor Civic Association. He was also a member of the Democratic Party and gave his support by getting petitions signed for each candidate. Albert was also a 4th degree knight with the Knights of Columbus with Christ The King Council. He managed the Council for 15 years.,2006
20072,Angela Padavano Way,Underneath the Martin Avenue street sign at the southwest corner of Purdy Avenue,"Angela Padavano was a prominent Staten Island fund-raiser helped garner hundreds of thousands of dollars for charity during four decades of philanthropy.  In an interview she gave before being named Woman of Achievement in 2001, she said, “I run wherever I’m needed because I love people and want to keep busy.”  She also received other honors for her charity work including three Distinguished Volunteer awards from the Staten Island Unit of the American Cancer Society, the Above and Beyond medal from the Deborah League and the service award from Staten Island Mental Health Society.",2007
20075,Officer Timothy M. Hurley Way,Pine Street Between Euclid Avenue and Crescent Street,"Police Officer Timothy M. Hurley grew up in Brooklyn on Euclid Avenue and attended Blessed Sacrament School, graduating in 1955. He then attended Franklin K. Lane High School, graduating in 1959. On June 7, 1968 Police Officer Hurley was appointed to the Police Department and assigned to the 103rd Precinct. He was a very active officer who was highly respected by his peers and supervisors. On March 9, 1974, while present at a robbery in progress of a bar, Officer Hurley was in a gunfight with the perpetrators and was fatally shot while attempting to apprehend them. He is survived by his wife and son who still reside in Queens.",2007
20077,O' Donnell Way,East 7th Street Between Avenues C and D,"May O’ Donnell was a modern dance pioneer who gained unusual prominence as a member of the Martha Graham Contemporary Dance Company, and who maintained a 60-year career as a choreographer with more than 100 works now performed in colleges, universities and companies in the United States and Europe. She taught at the High School for the Performing Arts and at her studio on 10th Street where she developed famous performers including Ben Vereen, Robert Joffrey, Dudley Williams and many others.",2007
20079,Robert A. Breen Way,Underneath Seneca Avenue street sign at the southeast corner of Victory Boulevard,"Robert Breen was a junior honor student at Msgr. Farrell High School on Staten Island and an all-star member of its cross country and track teams who died after being struck by a car while on a run. Robert had an academic average in the mid – 90’s and was a member of the National Honor Society. He was a young man of unusual stature and personal character and was a leader not only in the classroom and on the track team, but also in the community.",2007
200712,Daniela R. Notaro Way,On the corner of 8th Street and Reno Avenue,Daniela R. Notaro was tragically killed in the devastating terror attacks on 9-11.  She worked for Carr Futures on the 92nd floor of WTC 1.  She was only 25 years old.,2007
200713,Lt. James D. Hicks Way,On the corner of Cromwell Avenue and Jefferson Street,"James David Hicks grew up in Staten Island and graduated from Monsignor Farrell High School in 1979. He then attended SUNY Maritime College in the Bronx. He was commissioned as an officer in the Naval Reserve in 1984. James Hicks trained as a fighter pilot and was assigned to active duty with Attack Squadron 85 at the master jet base, Naval Air Station, Virginia. He served aboard the U.S.S. Saratoga in the Mediterranean Sea, participating in the United States action against Libya. He was tragically killed in an A-6E intruder that crashed on a training mission in Stumpy Point, North Carolina. Throughout his life, James Hicks accomplishments were varied and he will be remembered for his dedication to his family and to his country.",2007
200714,Robert Merrill Way,Bay 28th Street Between Benson and Bath Avenues,"Robert Merrill was a Brooklyn-born and bred Metropolitan Opera singer in which he gave over 500 performances over a thirty-year career.  He also appeared on the Ed Sullivan Show, sang in a studio recording of Fiddler on the Roof and was also known for singing the National Anthem at Yankee Stadium.  Robert Merrill was a great singer and a great community asset man.",2007
200720,Boimah Cooper Drive,Underneath the Hanover Street sign at the southwest corner of Palma Drive,Boimah Cooper was discovered by a group from the Staten Island Liberian Community Association (SILCA) during a Humanitarian Relief Mission to bring goods from local school children to various villages surrounding Monrovia.  He was found under a tree crying and unable to walk with bones budging from his back.  The group from SILCA immediately rushed Boimah Cooper to the local hospital in Monrovia. JFK Hospital recommended that he return with the group to America for spinal reconstructive surgery.,2007
200729,Tajmere Clark Way,Williams Avenue Between Blake Avenue and Sutter Avenue,Tajmere Clark was a little girl full of energy and had her own unique way of doing things.  Her memory will never be forgotten and will be cherished by everyone who knew her.,2007
200736,Captain John J. McKenna IV Lane,East 2nd Street Between Greenwood Avenue and Vanderbilt Avenue,"Captain John J. McKenna IV from Brooklyn, NY was killed in action while conducting combat operations in Fallujah, Iraq while serving as a Platoon Commander with Company B, 1st Battalion, 25th Marines.  In 1998, he earned a Bachelor’s degree in History from Binghamton University.  He also accepted a commission in the United States Marine Corps as a Second Lieutenant after his successful completion of Officer’s Candidate School.  In August of 2005, John graduated from the New York State Police Academy and was stationed in Saratoga and Clifton Park with Troop F.  In his life as a Marine, a New York State Trooper and in his private life he was the leader, the mentor and the big brother to many.  He always led from the front and considered the needs of others before his own needs.",2007
20081,Yolanda Garcia Way,"Third Avenue Both sides of the street, from 156th Street to 159th Street","Yolanda Garcia was age 53 at the time of her passing in February 2005.  She was one of the founders of Nos Quedamos/We Stay, a community group in her  neighborhood that worked to prevent evictions of people who lived and worked in her neighborhood.  She was a visionary person who contributed to the health and well being of the community she served.  ",2008
200816,Detective Russel Timoshenko Way,Durant Avenue Between Buffalo Street and Hopkins Avenue,"Detective Russel Timoshenko graduated from Tottenville High School in Staten Island and excelled in economics as a student at City College.  Soon after, he became a police officer with the 71st Precinct and was shot in the line of duty on July 9, 2007 and died five days later at the age of 23.  Detective Timoshenko was promoted posthumously to Detective and also awarded the NYPD’s Medal of Honor.",2008
200844,Luke M. Parlatore Way,Virginia Avenue at the southeast corner of Bay Street,"Luke M. Parlatore died in 2002 from complications after a car accident, at the age of 17.  After 9/11, he volunteered for the Red Cross and obtained supplies for workers at the  site.  He also received citations from the Vietnam Veterans’ Association and the Alzheimer Foundation for his volunteer efforts.",2008
200845,Pfc. Nils George Thompson Way,At the intersection of Franklin Avenue at the southwest corner of Cassidy Place,"Nils George Thompson was killed in the line of duty in  on August 4, 2005.  He served with the 1st Brigade, 25th Infantry Division, the Stryker Brigade from .  Since his childhood, he always wanted to serve his country from having listened to stories of generations of servicemen before him.  ",2008
200847,100th Anniversary Liedy's Shore Inn Way,At the intersection of Richmond Terrace at the southwest corner of LaFayette Avenue,Liedy’s Shore Inn has been established for over 100 years and has served the Staten Island and  communities with some of the most talented musicians in the music business such as Jimmy Mack and Bette Midler.  It is a great supplier of ’s rich music scene and for people who like to dance.,2008
200849,Angelina J. (Jean) Esposito Way,At the intersection of Monroe Avenue at the southwest corner of Benziger Avenue,"Angelina J. (Jean) Esposito was a teacher for more than 30 years, teaching kindergarten through second grade, as well as special education at several elementary schools.  She also served as a member of the Great Kills Swim Club, the American Committee on Italian Migration and was a member of the Board of Directors for the Seton Hall Foundation for Learning.",2008
200850,Wagner Chaplain 1972 - 2007 Reverend Lyle R. Guttu Way,At the intersection of Howard Avenue at the southeast corner of Campus Road,"Reverend Lyle R. Guttu was a   graduate who later went on to teach English at the   in  before deciding to enroll at Union Theological Seminary.  Finally, he settled at  where he served in a variety of positions such as the Dean of Students, Special Assistant to the Academic Vice President, Vice Provost and Special Assistant to the President",2008
200851,Frank J. Reali III's Way,At the intersection of Gansevoort Avenue at the southwest corner of Victory Boulevard,"Frank J. Reali III died at the age of 36 of a congenital heart condition.  He was a star athlete of football and basketball who was part of the 1986 Susan Wagner team that won the PSAL city championship. He worked for his family real estate business as an agent for 16 years and was very dedicated to his wife and children.  His death led to the formation of the Frank J. Reali III foundation, which pays for MRI’s for all High School students to ensure their health prior to their participation in youth sports.",2008
200853,David Villamarin Drive,At the intersection of Lake Avenue at the northwest corner of Richmond Terrace,"David Villamarin was the President of Villa Marin Pontiac-Buick-GMC-Cadillac auto dealerships and was an active member of the Staten Island community, participating in many charitable organizations such as the CYO, the Boy Scouts of America and the .",2008
200856,Pearse O'Callaghan Boulevard,St. Paul's Avenue at the southeast corner of Beach Street,"Mr. O’Callaghan, a World War II veteran, was chairman of the Citizens Committee for , advocating for drug rehabilitation.  He was a life long resident of  who dedicated his life to numerous social and community causes.  He was involved for over 30 years in the transportation field becoming executive vice president of the Metropolitan Container Trucking Corp.  Furthermore, Pearse O’Callaghan was active for many years in the Liberal Party, serving as  and Vice Chairman of the State Committee of the party.  Mr. O’Callaghan also served as Director of the New York State Division of Cemeteries.  ",2008
