coname,location_search,location_complete,borough,reason,year,index
Officer Michael Buczek Avenue,Edgecombe Avenue and Jumel Place,Edgecombe Avenue between Jumel Place and Amsterdam Avenue,,"Police Officer Michael Buczek was born to Ted and Josephine Buczek, in Paterson, New Jersey, on August 19, 1964.  At his birth the Buczek family lived in Wayne, New Jersey and he later attended Holy Cross Elementary School and DePaul Catholic High School there.  After high school, Michael attended Ramapo College in Mahwah, New Jersey. 
        Michael Buczek became a New York City Police Officer on July 8th 1985 and after training at the Police Academy was assigned to the 34th Precinct in Upper Manhattan.  Officer Buczek was designated to patrol the area of West 155th Street to West 165th Street, the busiest part of the Precinct.  On October 13, 1988, at 9:45 P.M., Police Officer Buczek and his partner, Police Officer Joseph Barbato, responded to a call on West 161st Street and Broadway.  After completing their assignment, the Officers saw two suspicious men loitering in the building.  When approached by the Officers, the two men fled.  The Officers followed them, shots were fired and Police Officer Buczek was wounded in the chest.  Officer Barbato returned the fire and then remained with his fallen partner, rendering aid to him.  Police Officer Buczk was taken to Columbia Presbyterian Hospital where he died a short time later.
        Police Officer Buczek was survived by his father Ted, who now resides in Florida his brother, Walter, his sister-in-law, Janet and his sister, Mary Jo.  Public School 48 located at West 186th Street and Broadway is dedicated in Police Officer Buczek’s name.  Since the loss of their son, the Buczek family has dedicated themselves to contributing to the community that their son served by creating the Buczek Little League, to help the children and families of Northern Manhattan.  The community of Northern Manhattan commemorates the contributions of Michael Buczek and his family by celebrating a religious service in his memory every year on October 13th.  In recognition of Michael Buczek’s ultimate sacrifice, it is fitting that Edgecombe Avenue, between Jumel Place and Amsterdam Avenue, the location of the 34th Precinct, be named “Officer Michael Buczek Avenue” in his honor.
",2001,22
Bishop J. Arthur Jones Place,Jefferson Place and Franklin Avenue,Jefferson Place between Boston Road and Franklin Avenue,,"Bishop J. Arthur Jones began to teach Sunday School at the age of 14.  By the time he was 18 he felt his call to the Ministry and, after seven years of labor as an Evangelist field, he began his pastorage.
        The first Bible School attended by Bishop J. Arthur Jones was the Moody Bible Institute in Chicago, Illinois.  He went on to spend three years at Columbia University, studying in the Department of Religious Education and continued his studies with three years at the Berea Bible Institute and Seminary.  Bishop J. Arthur Jones also studied both the Hebrew Classics and the Federal Bureaucracy at Herbert H. Lehman College of the City University of New York.
        Bishop Jones was the founder and served for over 30 years as the Pastor of Temple Emmanuel on Boston Road in The Bronx.  At the time of his death, he was also serving as the head of the United Church of God in Christ in the United States of America and Africa.  
        A prolific writer, composer, singer and pianist, Bishop Jones was motivated by the Holy Spirit to write “The Defender of My Faith” while recuperating from illness.  Later, while studying for his Ph.D. degree, he was again motivated by the Holy Spirit.  He wrote “The Revelation of the Kingdom of God” as a manual for Christians seeking guidance and insight into their beliefs.
        The Bronx Shepherds Restoration Corporation, of which he was a founding member, honored Bishop Jones by dedicating the housing development at 1360 Clinton Avenue as the “J. Arthur Jones Apartments”.
",2001,23
Milt Hinton Place,113th Avenue and 175th Street,113th Avenue between Marne Place and 175th Street,,"Milton “Milt” Hinton was born on June 23, 1910 in Vicksburg, Mississippi. Mr. Hintons’s parents separated when he was an infant and his mother moved to Chicago where he joined her, after living with relatives, when he was nine years old. With his mother’s encouragement he began studying the violin. In 1929, Mr. Hinton taught himself to play the string bass because opportunities for violinists were limited, as symphony orchestras were not yet hospitable to Black musicians.
After working for several years with a Jazz band in the Chicago area, Mr. Hinton was hired by the Cab Calloway Band in 1936.With the Calloway band, he became one of the first Jazz bassists to be featured on records as a soloist. During his 60 year career, Mr. Hinton, nicknamed the “The Judge”, performed and recorded with many legendary musicians including Count Basie, Duke Ellington, Louis Armsrong, Benny Goodman, Erskine Tate, Art Tatum, Jabbo Smith, Eddie South, Zutty Singleton, Cab Calloway, Eubie Blake, John Coltrane, Quincy Jones, Wynton Marsalis, Branford Marsalis, Paul McCartney, Andre Kostelanetz, Guy Lombardo, Frank Sinatra, Bing Crosby, Billy Holiday, and Barbara Streisand. He became one of the most recorded artists in history as estimates of the records and albums he recorded range from 600 to well over 1,000.
At the height of his popularity Milt Hinton entertained Presidents and dignitaries at the White House, served as chairman of the International Society of Bassists, The National Association of Jazz Educators, the Jazz Panel of the National Endowment for the Arts and held charter memberships in the Duke Ellington Fellowship at Yale University and the Newport Jazz Festival Hall of Fame. He received many honors during his lifetime including honorary doctorates from DePaul University, Hamilton College, Skidmore College, Trinity College and William Patterson College of the State of New Jersey. Mr. Hinton also received awards from Esquire and Downbeat Magazines, “The Satchmo Award” from the Saratoga Jazz Society, “The Benny Carter Award” from the American Federation of Jazz Societies, “The Living Treasure Award” from the New York Chapter of the National Academy of Recording Arts and Sciences, and the “Keys to the City” of more than a dozen cities.
Milt “The Judge” Hinton died on December 19, 2000 in Queens where he had been a pillar of the St. Albans community for many years. He was survived by his wife Mona; a daughter, Charlotte Morgan; and a granddaughter. Because of his outstanding contributions to the Jazz music of the Twentieth Century, and his lasting inspiration to his community, it is fitting that 113th Avenue, between Marne Place and 175th Street in St. Albans, where he lived for more than a quarter of a century be named “Milt Hinton Place” to honor this musical legend. 
",2001,24
Harry Douglas Way,Sidway Place and Farmers Boulevard,Sidway Place between Selover Road and Farmers Boulevard,,"Harry M. Douglas lived on Sidway Place in southeast Queens and at his death, on June 5, 1999, had provided almost a quarter century of dedicated community service to his community.
        Harry Douglas was elected Vice-President of the Merrick Boulevard Local Development Corporation at its formation in 1980 and served in that capacity until his death.  He was also instrumental in the organization of the Springfield Gardens Business Merchants Association.  He worked closely with the men and women of the 113th Police Precinct on a regular basis to address the many problems that confronted the community.  Through his leadership, grants for neighborhood improvements were provided by Federal, State and City agencies.  As the architect of Project Lamb, he was responsible for the annual installation of holiday lights on the Merrick Boulevard shopping strip.
        Through his persistence under the banner of the Merrick Boulevard Local Development Corporation, Harry Douglas won approval for the Locust Manor Civilian Patrol and for the two neighborhood redevelopment contracts awarded to provide security and safety equipment for 46 merchants from Archer Avenue to Springfield Boulevard.
        As the lead singer of The Deep River Boys, Harry Douglas delighted audiences around the world for more than 30 years.  He was featured on nine albums and many singles released by the group.  The Deep River Boys performed twice at the White House and gave a Command Performance for Her Majesty, the Queen of England
",2001,25
Liberty Pole Boulevard,84th Street and 18th Avenue,84th Street between 16th Avenue and 18th Avenue,,"This legislation was requested by the Friends of Historic New Utrecht, Inc., to name the street abutting the National Historic Landmark New Utrecht Liberty Pole.  The Liberty Pole has been at this location since November 1783.  It commemorates the evacuation of the British from our shores during the Revolutionary War period and is believed to be the only remaining Liberty Pole of its kind in the United States.  It is intended for the Liberty Pole to be incorporated into the Brooklyn American Revolution Heritage Trail being planned by a number of Brooklyn historical groups.  ",2001,26
Sal Candrilli Place,Joyce Street and Seaver Avenue,Joyce Street between Naughton Avenue and Seaver Avenue,,"Salvatore “Sal” Candrilli was born on May 30, 1923 to Jerome and Theresa Candrilli. He was raised in the Dongan Hills section of Staten Island, attended Public School 11 and graduated from New Dorp High School in 1942. As a child, Mr. Candrilli was always active in sports, playing baseball for New Dorp High School, football in the New Dorp Teens Football League and caddying at the Richmond County Country Club, which brought out his love for golf. 
On October 22, 1942 Sal Candrilli enlisted in the United States Marine Corps and served as a Combat Engineer in the 2nd Division, seeing action in Spain, the Mariana Islands and Okinawa. He was honorably discharged as a Corporal on December 8, 1945. After his discharge, Sal Candrilli worked for the Great Lakes Dredge and Dock Company and for Local 21, Staten Island before being hired by the New York City Department of Parks, where he retired after 35 years as a Mechanic Foreman in 1985.
He met and married, Ethel Young on April 10, 1948 and they had four children, Donald, Richard, Jerome and Missey, which is why his “love affair” of approximately 30 years, with Little League Baseball started.  Sal Candrilli began his Little League “career” as a coach with the Island Chevies. He also served as field Commissioner, umpire, and later, president of the Staten Island Little League in Dongan Hills, for approximately 17 years. He continued for another 13 years as District 24 Administrator for the National Little League Headquarters, overseeing leagues on Staten Island and in Manhattan. During this time he led the fight against a measure that would have taxed Little Leagues for their real estate helping to form the Staten Island Athletic and Recreational Alliance. He also was a pioneer in creating night baseball on Staten Island and a girl’s softball program. A ball field was named for him by the Staten Island Little League. 
In May of 1973, the Award of Merit was presented to Mr. Candrilli from then Borough President of Richmond, Robert T. Connor. In 1974, while president of the Staten Island Little League, he was profiled in the Staten Island Advance for his work in planning and preparing to host the National Regional Tournament at Hy Turkin field. In 1976, he was honored for “Outstanding Services to Staten Island Sports”, at the 11th annual Advance All-Star Dinner. In 1985 Mr. Candrilli decided to “retire” from Little League Baseball because, as he said,  “times have changed and it’s time for someone else to take over”, but also saying that, “I’ll always be around”.
On September 20, 1996 Salvatore Candrilli died. He was survived by his wife, the former Ethel Young; his children, a sister, Ann Pinto, and four grandchildren. His participation in organized sports on Staten Island made a difference for many people, including his grandchildren, Christina and Peter Candrilli and Nicole and Jennifer Vitagliano, who actively play in many organized sports on Staten Island. They have inherited his sportsmanship, respect for others on and off the field, and his true feelings for all kinds of sports, always remembering that he would say “it doesn’t make a difference if you win or lose but it’s how you play the game”. It is therefore fitting that Joyce Street between Naughton Avenue and Seaver Avenue, which abuts the Staten Island Little League complex, be named “Sal Candrilli Place” in his honor.
",2001,27
Leonard Stavisky Place,29th Road and 138th Street,29th Road between 137th Street and 138th Street,,"Leonard P. Stavisky was born in New York City and attended New York City public schools.  He earned three university degrees: a Bachelor of Science from City College of New York and both a Master of Arts and Doctor of Philosophy degrees from the Graduate Faculty of Political Science of Columbia University.
        A university professor by background, Leonard Stavisky had more than 25 years of experience teaching and in administration at Columbia University, the State University of New York, the City University of New York, Colgate University, Long Island University and Virginia Polytechnic Institute.
        He began his career in public service in City government by serving for seven years as a deputy to the President of the New York City Council.  Between 1972 and 1977, he served as a member of the State Charter Revision Commission for the City of New York.
        In 1965, Leonard Stavisky was elected to the New York State Assembly where he represented Flushing, Queens and served as the Chairman of the Education Committee for eight years.  He was elected to the New York State Senate in 1983 in a special election.
        Senator Stavisky served as National Vice-Chairman of the Commission on Organization of the American Jewish Congress, Trustee of the Municipal Lodge of B’nai B’rith, the New York League of Histradrut and the Settlement Housing Fund, Honorary Trustee of the National Amputation Foundation, and as a member of the Board of Directors of Interfaith Movement, Inc.
        On a more local level, Senator Stavisky served as the Chairman of the Whitestone Library Committee and on the Board of Directors of the Bay Community Volunteer Ambulance Corps, the Latimer Gardens Community Center, the Bland Houses Community Center, the Flushing Boys Club and the North Flushing Senior Center.  He also served on the Advisory Board of the Queens Council On The Arts, the Iris Hill Nursery School and Save The Theatres, Inc. 
        On a citywide level, Senator Stavisky served on the Board of Trustees of the New York Public Library, the Board of the New York City Employees Retirement System, the New York City Health Insurance Board, the Mayor’s Committee on Scholastic Achievement and the Mayor’s Committee on Coordination of Services to Families and Children.
        Upon his death in 1999, Senator Stavisky was survived by his wife, now State Senator, Toby Ann Stavisky and a son Evan.
        This street designation is supported by Queens Community Board No. 7, Members of Congress Nita M. Lowey, Gary L. Ackerman and Joseph Crowley, State Senator George Onorato and Assembly Member Nettie Mayersohn
",2001,28
Harold Rapkin Plaza,Paulding Avenue,the west side of Paulding Avenue at its intersection with the Esplanade,,"Harold Rapkin was born to Nathan and Hattie Rapkin in the Bronx on February 16, 1917. He attended James Monroe High School and went on to attend City College. He met and married his wife Grace in 1944 and they maintained residence in The Bronx until his death. During World War II Harold Rapkin served in the Army Air Force for almost four years.
In 1974 Harold and Grace Rapkin moved to Pelham Parkway where they both joined Post #769 of the Jewish War Veterans (JWV). A year later Mr. Rapkin was elected Junior Vice-President of the organization and in 1977 he was elected Commander and was re-elected Commander n 1978. Shortly after joining Post #769, Mr. Rapkin suggested that the organization donate money to the Patrolmen’s Benevolent Association of New York to purchase two bullet-proof vests. This was done at a time when the New York City Police Department did not issue bulletproof vests.
Mr. Rapkin also involved Post #769 in many other projects. In 1977, JWV sponsored the dedication of a ‘Lt. Colonel Yehonatan Netanyahu Lane’, in the Pelham Parkway area, in memory of the Israeli hero who was killed in the Entebbe raid in Uganda. In 1986, the crosswalk at Pelham Parkway South and Muliner Avenue was named the ‘Raoul Wallenberg Lane’ in memory of a Swedish diplomat who saved thousands of Jews from Nazi death camps. In 1995, Mr. Rapkin was the driving force in getting a permanent street sign identifying the corner of Pelham Parkway South and Cruger Avenue as ‘Jewish War Veterans of the USA and Ladies Auxiliary Lane’. Also in 1995, Mr. Rapkin sponsored a sizable donation to the Kingsbridge Veterans Hospital to purchase a V-Tech Computer for disabled veterans in the Spinal Column Ward, and was mainly responsible for the erection of a beautiful monument “In memory of all American Jewish men and women who made the supreme sacrifice in the defense of the USA.” The monument was placed on the front lawn of Bronx House on Pelham Parkway South. Every year, on Veterans Day, memorial services are held at the monument. Mr. Rapkin was equally active throughout his Bronx Community and in the five year period preceding his death spent more than 1100 hours volunteering at the Kingsbridge Veterans Hospital.
Harold Rapkin received numerous awards for his contributions including: In 1976 he received a “Certificate of Appreciation for Outstanding Community Service” from the Pelham Parkway South Association; also in 1976 he received a plaque from the New York City Police Department 43rd Precinct for “Exceptional Service”; in 1978 he received an “Award of Merit” from Bronx House for “Outstanding Leadership”; In 1981 he received an award from Pelham Parkway Post 796 for “Outstanding and Exemplary Devotion to JWV and Community”. Also in 1981 he received the “Abe Nadelman Award for Outstanding Service” from Post #769 JWV (Mr. Nadelman was their first commander); Mr. Rapkin also received the “Man of the Year” award from the Bronx County Council of JWV; in 1984 he became the first recipient of Post #769’s “Murray Portnoy Memorial Award”; and in 1986 he was the Pelham Parkway Jewish Center’s “Man of the Year”.
Harold Rapkin died on October 23, 1997. He was survived by his wife, Grace, and a brother, Edwin. For his many years of devoted service to the Bronx Community, it is fitting that the westside of Paulding Avenue at its intersection with the Esplanade, where Harold Rapkin lived for many years, be called Harold Rapkin Plaza in his honor.
",2001,29
DONNA and  MICHELE BLANCHARD PLAZA,Fort Hamilton Parkway and 92nd Street,Fort Hamilton Parkway and 92nd Street,,"On June 7, 1994, Donna Blanchard dropped her five-year old son, Andrew, at P.S. 104.  She and her four-year old daughter Michele then went to the local grocery store to pick up a few items.  On their return trip from the grocery store, as they crossed Fort Hamilton Parkway at the corner of 92nd Street, they were both struck and killed by a hit- and-run driver who was never identified. Donna Blanchard was born and raised in Bay Ridge, Brooklyn.  She attended grammar school at St. Patrick’s Church school and went on to attend Fort Hamilton High School.  During her lifetime, Donna Blanchard worked at many local business establishments until her marriage and the birth of her five children.  She dedicated her life to her children and was often seen playing with them in front of the house or at the local park.",2001,30
ARTHUR HAYES WAY,"32nd Avenue and 104th Street,","32nd Avenue, between 103rd Street and 104th Street,",,"Arthur Hayes was born on January 3, 1923, to Andrew and Lorena Hayes in Port Arthur, Texas. Mr. Hayes, along with his wife Lillian and his daughter Ann, was a long time resident of the East Elmhurst area. He was an active member of Community Board #3, President of the East Elmhurst-Corona Civic Association, Inc., First Vice-President of the Jackson Heights Development Corporation, a Board Member of the Jerome Hardeman Day Care Center and Worshipful Master of Trinity Lodge No.51 in East Elmhurst. Mr. Hayes was also involved with many other community organizations and activities.
As President of the East Elmhurst-Corona Civic Association, Arthur Hayes worked diligently to resolve quality of life and as a Community Board Member, Mr. Hayes served on the Transportation, Land Use and other committees, and was instrumental in obtaining approval to make 32nd Avenue a one-way street because of the heavy traffic. As a member of the Transportation Committee, Mr. Hayes attended numerous meetings with the Port of Authority of New York and New Jersey regarding the AGT Monorail, the “Flyover Project” at LaGuardia Airport, and other safety issues at the airport due to its close proximity to the East Elmhurst community. He was also involved in environmental issues such as the dredging and clean-up of Flushing Bay.
Arthur Hayes was the recipient of numerous awards for his community service. He received the Elmcor Youth and Adult Activities, Inc. “Hall of Fame Award” in 1981; was an honoree of the Key Women of America, Inc. Concourse Village Branch, in 1989; was an honoree of the North Shore National Association of Negro Business and Professional Women in 1991; was honored by the Black American Heritage Foundation in 1994; received the Corona Congressional Church’s “Community Service Award” in 1994; was honored by the Jackson Heights Community Development Corporation in 1995; and, was a 115th Police Precinct Community Service Honoree in 1996. Mr. Hayes received Citations of Honor from Queens Borough President Claire Shulman and the New York City Council in 1995.
Arthur Hayes died on April 1, 1997. He was survived by his wife, Lillian, a daughter, Ann, and a sister, Myrtle Stuckey. ",2001,31
JOHN DOWNING PARK,50th Street and 43th Avenue,park at 50th Street and 43th Avenue,,"John Downing, 40 years of age, was one of three firefighters who died and 50 others who were injured in a Father’s Day fire in Astoria, Queens on June 17, 2001.  Survived by his wife Anne and children Joanne, age 7, and Michael, age 3, John Downing had an extended family that ranged from Queens County to Ireland.  An eleven year Fire Department veteran, at the time of his tragic death he was assigned to Ladder Company 163.  ",2001,32
TEDDY WHITE PLACE,57th Street and 31st Avenue,57th Street between 30th Avenue and 31st Avenue,,"Teddy White was born on July 25, 1971 to Edward and Regina White, in Boulevard Gardens in Woodside, Queens. His family grew to include brothers Jimmy, Chris and Billy, and a sister, Sue. Teddy attended kindergarten at Public School 151 and then went to the Corpus Christi School for eight years. After grammar school he continued at Monsignor McClancy High School from which he graduated in 1989.
On April 18, 1998 Teddy White married his lovely wife Jennifer, and a daughter, Taylor, was born to the couple on December 16, 1999. The young family bought an apartment at Boulevard Gardens and settled there. Mr. White joined the New York City Fire Department and was assigned to Engine Company 230 in Brooklyn.
On September 11, 2001 Teddy White and the members of Engine Company 230 responded to the emergency brought on by the attacks on the World Trade Center. Mr. White died while attempting to save lives when the twin towers collapsed. He was survived by his wife, Jennifer, his daughter, Taylor, his parents, Edward and Regina, and four siblings.
",2001,33
LAWRENCE VIRGILLIO PLAYGROUND,"Windmuller Park, 52nd Street and 39th Drive","Windmuller Park, 52nd Street and 39th Drive",,911 heroes,2001,34
BOULEVARD OF BRAVERY,Queens Boulevard and 65th Place,Queens Boulevard between 63rd Street6 and 65th Place ,,This proposal is intended to honor the members of New York Fire Department Special Unit Rescue Company 4 located at 64-18 Queens Boulevard.  This unit was one of the first to respond to the terrorist attacks at the World Trade Center on September 11th.  It is also the unit that suffered some of the greatest losses in the City.  Seven members of Rescue 4 perished in the collapse of the Twin Towers.  That portion of Queens Boulevard that is located outside of Rescue 4 would be designated as the Boulevard of Bravery.,2001,35
PLAZA OF HEROES,Perry Avenue and 68th Street,Perry Avenue and 68th Street,,"This proposal is intended to honor the members of Squad 288, Hazmat 1, located at 56-29 68th Street in Queens.  This unit was one of the first to respond to the terrorist attacks at the World Trade Center on September 11th.  It is also the unit that suffered some of the greatest losses in the City.  Eleven members of Hazmat 1 perished in the collapse of the Twin Towers.  An intersection outside Hazmat 1, Perry Avenue and 68th Street, would be designated as the Plaza of Heroes.",2001,36
KEVIN F. CONROY Ballfield at Greenwood Playground,playground at East 5th Street between Greenwood Avenue and Fort Hamilton Parkway,playground at East 5th Street between Greenwood Avenue and Fort Hamilton Parkway,,"Kevin Francis Conroy was a lifetime resident of the Kensington section of Brooklyn.  He gave extensively of his time and energy to projects to better the community and was particularly dedicated to providing recreational opportunities to the youth of the community.
Kevin Conroy was a youth mentor and role model to both the young men and young women who played in the basketball and softball programs of which he was a part.  With his wife, Georgette, Kevin Conroy had four children, three girls and one boy. He was also an active member of the Immaculate Heart of Mary Parish.
        At the time of his death, at the age of 47, during the terrorist attack on September 11, 2001, Kevin Conroy was employed as a Vice-President of Corporate Accounting with the firm of Marsh &  McLennan at the World Trade Center.
        The ballfield proposed to be named herein was the location where he regularly played in a community softball league.
",2001,37
FATHER JOSEPH DAVID COLBERT,"St. Pancras Church, 68th Street","St. Pancras Church, 68th Street",,"Father Joseph David Colbert was born in Brooklyn, New York on August 19, 1933 to Joseph and Abigail (McCarthy) Colbert.  He was baptized in the Church of Saints Peter and Paul and was educated at St. Francis of Assisi School, Cathedral High School/College and the Seminary of the Immaculate Conception (Huntington, New York).  Father Colbert was ordained on May 30, 1959 at St. James Pro Cathedral in Brooklyn.  
        Following his ordination, Father Colbert ministered to the people of the Diocese as an Associate Pastor at St. Mel’s Parish in Whitestone, New York, as an Associate Pastor and, later, as Pastor at St. Pascal Baylon Parish in St. Albans, New York and as Pastor at St. Pancras Parish in Glendale, New York.   
        Father Colbert led the restoration of St. Pancras Church, improved the grounds and maintained and improved St. Pancras School.  He made St. Pancras “the showcase of the eastern seaboard”.  He loved being present at school assemblies, class masses, students’ day programs and graduations.  He always stressed to the students that they do all with “grace, dignity and poise”.  
        Father Colbert was also a lover of the arts and he incorporated this love into his life and his homilies.  He approached all that he did with vigor, energy and pride.
",2001,38
FIREFIGHTER CHRISTOPHER J. SIEDENBERG ,"Evergreen Park, Staten Island","Evergreen Park, Staten Island",,"A lifelong resident of the Great Kills section of Staten Island, Christopher J. Siedenberg was one of three firefighters who died in the line of duty fighting a blaze in lower Manhattan in March 1994.  While growing up on Staten Island, Christopher Siedenberg’s oft-stated ambition was to become a fireman.  Prior to joining the New York City Fire Department, Christopher Siedenberg was certified as a New York State Emergency Medical Technician.  He joined the Volunteer Heart Resuscitation Unit of Staten Island and continued to volunteer there even after being appointed to the Fire Department in 1991.
        Evergreen Park is located directly behind Christopher Siedenberg’s boyhood home.  He spent many enjoyable hours in that park when he was growing up.  It is for that reason that Evergreen Park is to be renamed in his memory.
",2001,39
Ilka Tanya Payan Memorial Park,"an existing park located on West 156th Street, between Riverside Drive and Broadway","an existing park located on West 156th Street, between Riverside Drive and Broadway",,"Ilka Tanya Payan was born on January 7, 1943 in Santo Domingo, Dominican Republic. She died of complications due to AIDS on April 6, 1996 in New York City at the age of 53. Ms. Payan was famous for her portrayal of the villainous Carmen Delia on the Spanish-language television soap opera “Angelica, Mi Vida” and as a champion for anti-AIDS causes.
Long before Ms. Payan became an AIDS activist, she was active in the Latino community providing information about immigration issues.  She went to law school, was admitted to the bar in 1981, and went on to practice immigration law. She also became a contributing columnist for El Diario-La Prensa, the largest circulation Spanish-language newspaper in New York.
        In 1986, Ilka Tanya Payan discovered that she was HIV positive. Fearing being stigmatized, she kept her condition secret for seven years. In 1993, she shocked the Latin-American community by publicly disclosing her situation and becoming actively involved in AIDS-related causes. She devoted herself to enlightening her community regarding AIDS and received a number of awards for her work. In recognition of her courage, her dignity and her outstanding passion for educating the public to the grim realities of AIDS, it is fitting that an existing park located on West 156th Street, between Riverside Drive and Broadway, in the community where she lived for many years, be named, “Ilka Tanya Payan Memorial Park” in her honor.
",2001,40
Juan Pablo Duarte Square,"West 170th Street, between Saint Nicholas Avenue and Broadway","West 170th Street, between Saint Nicholas Avenue and Broadway",,"Juan Pablo Duarte, born in the city of Santo Domingo on January 26, 1813, is considered the “Founding Father of the Dominican Republic”. He was the son of a Spanish merchant and, as a teenager, he was sent to Spain to continue his studies. During this time he was greatly influenced by Catalonia’s “autonomous community” goals. When he returned to Santo Domingo in 1838, he found that young Dominicans were resentful of Haitian rule. The Haitian domination of eastern portion of the island of Hispaniola had begun in 1822. The political unification of Hispaniola brought liberation to the slaves, land reforms, and political rights for all the people living on the eastern part of the island. Haitian domination made the Dominican people recognize the importance of self-government and political participation. Haitian law recognized political participation but Dominicans were actually considered a minority with few rights.
Is was in this atmosphere that Juan Pablo Duarte created a secret society, called “La Trinitaria”, in 1838 so that the yearning for liberty and self-government could be further intensified. He developed a political underground movement that organized the youth of the most important cities of the eastern part of Hispaniola. To promote their goals they used flyers, “cantaletas” (serenades with songs that had political content), and presented dramas with political content through a cultural organization called “La Filantropica”. This organization was open to all, promoted cultural activities and was controlled by “La Trinitaria”. In 1843, La Trinitaria worked together with the “Reformista” movement from the western part of the island to overthrow Jean Pierre Boyer’s Regime. Though this did not end Haitian rule, the situation made it possible for the La Trinitaria movement to gain political strength and to work in the open during elections.
Charles Herard, the leader of the Reformista movement and successor to Boyer, understood and mistrusted the political goals of the Trinitaria. After he was elected president in 1843 Herard persecuted the “La Trinitaria” movement and Duarte was forced to escape to Curacaco while his closest collaborators went into hiding. However, the movement toward independence continued to grow even with Duarte in exile. On February 27, 1844 the forces for independence issued a proclamation declaring the freedom of the Dominican Republic. Duarte returned and he immediately took charge of the army. This situation was short lived, however, for another political group that also promoted annexation took over the government and jailed Duarte. He was sent into exile within a year.
Duarte retired to an isolated village in Venezuela and remained away from his country for twenty years. In 1861, Spain took over the Dominican Republic and made it a colony. War broke out in 1863 against Spanish rule and Duarte returned the following year to fight again for Dominican Independence. He was sent on a diplomatic mission by the provisional Dominican government to solicit funding for the war from neighboring countries. After independence was reestablished he returned to Venezuela. He died there in 1876, having devoted his entire life to the independence of the Dominican Republic. In recognition of his leadership in the independence movement of his country it is fitting that the northern side of West 170th Street, between Saint Nicholas Avenue and Broadway, in the heart of one of New York’s largest Dominican communities, be called “Juan Pablo Duarte Square.”  The naming of this “Square”, located at the end of the previously named “Juan Pablo Duarte Boulevard”, will provide space to erect a monument to Duarte as a symbol of  “democracy and freedom”.
",2001,41
Met Life Plaza,Bridge Plaza North and 51st Street,"Bridge Plaza North, between 27th Street and 28th Street",,"The Metropolitan Life Insurance Company is consolidating and relocating a substantial portion of its New York City operations from its space at One Madison Avenue in Manhattan to Long Island City.  At least 800 Met Life employees are now in the process of being relocated to this new Long Island City location. There is a possibility of another 1,000 employees being assigned to the immediate area if a requested zoning change in enacted. Along with a zoning change, Met Life has requested and received, from the United States Postal Service, an address designation as “One Met Life Plaza.” This legislation seeks to give dual designation status to the area of Bridge Plaza North, between 27th Street and 28th Street, the area in front of the new Met Life offices, as “Met Life Plaza”.",2001,42
Vernon Cherry Way,Broadway and 51st Street,Broadway between 48th Street and 51st Street,,"Vernon Cherry served the City of New York as a firefighter at Ladder Company No. 118.  Born and raised in Woodside, Queens, Vernon Cherry enjoyed a distinguished 28-year career as a firefighter.  He was also well known for his outstanding singing voice, which he often used in support of charitable causes.  On September 11th Vernon Cherry answered the call at the World Trade Center and perished, at the age of 49, in the collapse of the twin towers.  ",2001,43
Michael Brennan Way,41th Street and the Brooklyn Queens Expressway,41th Street between 50th Avenue and the Brooklyn Queens Expressway,,Michael Brennan was a lifelong resident of the Sunnyside section of Queens.  He was employed as a New York City firefighter assigned to Ladder Company No. 4 in Manhattan. On September 11th Michael Brennan answered the call at the World Trade Center and perished  in the collapse of the twin towers.  ,2001,44
The Street of Arts & Culture,"Rockwell Place, between Lafayette Avenue and DeKalb Avenue","Rockwell Place, between Lafayette Avenue and DeKalb Avenue",,"The Rockwell Place area has always been a mecca of cultural programs.  Recently, this mecca has been enhanced by the addition of the 651 Arts Group and the Mark Morris Dance Group.  The Mark Morris Dance Group has built an entire building from the ground up to house their internationally known troupe.  In order to welcome these two additions to the community, and encourage other cultural programs to join them, Rockwell Place, between Lafayette Avenue and DeKalb Avenue, is proposed to be co-named The Street of Arts & Culture.",2001,45
